COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_DRAGGED, x:324, y:40, bt:0, since:8714
MOUSE_DRAGGED, x:323, y:40, bt:0, since:9009
MOUSE_DRAGGED, x:321, y:39, bt:0, since:9072
MOUSE_DRAGGED, x:319, y:38, bt:0, since:9131
MOUSE_DRAGGED, x:317, y:38, bt:0, since:9131
MOUSE_DRAGGED, x:318, y:40, bt:0, since:9496
MOUSE_DRAGGED, x:318, y:41, bt:0, since:9496
MOUSE_DRAGGED, x:318, y:42, bt:0, since:9525
MOUSE_DRAGGED, x:320, y:42, bt:0, since:9795
MOUSE_DRAGGED, x:321, y:43, bt:0, since:9828
MOUSE_DRAGGED, x:322, y:43, bt:0, since:9884
MOUSE_RELEASED, x:322, y:43, bt:16, since:10115
MOUSE_MOVED, x:323, y:43, bt:0, since:10230
MOUSE_MOVED, x:325, y:43, bt:0, since:10230
MOUSE_MOVED, x:325, y:42, bt:0, since:10252
MOUSE_MOVED, x:327, y:41, bt:0, since:10252
MOUSE_MOVED, x:328, y:41, bt:0, since:10284
MOUSE_MOVED, x:329, y:40, bt:0, since:10284
MOUSE_MOVED, x:334, y:38, bt:0, since:10317
MOUSE_MOVED, x:335, y:38, bt:0, since:10358
MOUSE_MOVED, x:343, y:37, bt:0, since:10383
MOUSE_MOVED, x:347, y:36, bt:0, since:10383
MOUSE_MOVED, x:348, y:36, bt:0, since:10498
MOUSE_MOVED, x:350, y:36, bt:0, since:10528
MOUSE_MOVED, x:351, y:36, bt:0, since:10551
MOUSE_MOVED, x:352, y:37, bt:0, since:10573
MOUSE_MOVED, x:354, y:37, bt:0, since:10635
MOUSE_MOVED, x:355, y:38, bt:0, since:10665
MOUSE_MOVED, x:356, y:38, bt:0, since:10665
MOUSE_MOVED, x:356, y:39, bt:0, since:10756
MOUSE_MOVED, x:357, y:39, bt:0, since:10872
MOUSE_MOVED, x:358, y:39, bt:0, since:10873
MOUSE_MOVED, x:359, y:39, bt:0, since:10938
MOUSE_MOVED, x:360, y:40, bt:0, since:10970
MOUSE_MOVED, x:359, y:40, bt:0, since:11227
MOUSE_MOVED, x:359, y:39, bt:0, since:11294
MOUSE_MOVED, x:358, y:39, bt:0, since:11326
MOUSE_MOVED, x:357, y:39, bt:0, since:11422
MOUSE_PRESSED, x:357, y:39, bt:16, since:11555
MOUSE_DRAGGED, x:357, y:41, bt:0, since:11831
MOUSE_DRAGGED, x:358, y:42, bt:0, since:11863
MOUSE_DRAGGED, x:359, y:42, bt:0, since:11967
MOUSE_DRAGGED, x:360, y:43, bt:0, since:11999
MOUSE_DRAGGED, x:361, y:43, bt:0, since:12057
MOUSE_DRAGGED, x:361, y:41, bt:0, since:12349
MOUSE_DRAGGED, x:361, y:40, bt:0, since:12350
MOUSE_DRAGGED, x:361, y:39, bt:0, since:12394
MOUSE_DRAGGED, x:361, y:38, bt:0, since:12394
MOUSE_DRAGGED, x:361, y:37, bt:0, since:12470
MOUSE_DRAGGED, x:361, y:36, bt:0, since:12635
MOUSE_DRAGGED, x:359, y:36, bt:0, since:12668
MOUSE_DRAGGED, x:358, y:36, bt:0, since:12701
MOUSE_DRAGGED, x:357, y:36, bt:0, since:12764
MOUSE_DRAGGED, x:356, y:36, bt:0, since:12876
MOUSE_DRAGGED, x:356, y:37, bt:0, since:12939
MOUSE_DRAGGED, x:355, y:38, bt:0, since:12939
MOUSE_DRAGGED, x:355, y:39, bt:0, since:13043
MOUSE_DRAGGED, x:355, y:40, bt:0, since:13081
MOUSE_DRAGGED, x:355, y:41, bt:0, since:13113
MOUSE_DRAGGED, x:354, y:41, bt:0, since:13162
MOUSE_RELEASED, x:354, y:41, bt:16, since:13417
MOUSE_MOVED, x:352, y:46, bt:0, since:13674
MOUSE_MOVED, x:347, y:51, bt:0, since:13697
MOUSE_MOVED, x:336, y:61, bt:0, since:13728
MOUSE_MOVED, x:334, y:63, bt:0, since:13760
MOUSE_MOVED, x:325, y:70, bt:0, since:13760
MOUSE_MOVED, x:308, y:83, bt:0, since:13793
MOUSE_MOVED, x:290, y:98, bt:0, since:13858
MOUSE_MOVED, x:262, y:131, bt:0, since:13888
MOUSE_MOVED, x:258, y:137, bt:0, since:13912
MOUSE_MOVED, x:253, y:148, bt:0, since:13934
MOUSE_MOVED, x:243, y:170, bt:0, since:13965
MOUSE_MOVED, x:230, y:197, bt:0, since:13999
MOUSE_MOVED, x:213, y:225, bt:0, since:13999
MOUSE_MOVED, x:198, y:249, bt:0, since:14049
