WINDOW_OPENED, v:java.awt.Dimension[width=500,height=500], since:253
MOUSE_DRAGGED, x:192, y:118, bt:0, since:7454
MOUSE_DRAGGED, x:193, y:117, bt:0, since:7489
MOUSE_DRAGGED, x:197, y:114, bt:0, since:7527
MOUSE_DRAGGED, x:202, y:109, bt:0, since:7576
MOUSE_DRAGGED, x:206, y:106, bt:0, since:7613
MOUSE_DRAGGED, x:211, y:103, bt:0, since:7657
MOUSE_DRAGGED, x:214, y:101, bt:0, since:7692
MOUSE_DRAGGED, x:221, y:98, bt:0, since:7736
MOUSE_DRAGGED, x:226, y:97, bt:0, since:7771
MOUSE_DRAGGED, x:255, y:87, bt:0, since:7881
MOUSE_DRAGGED, x:267, y:84, bt:0, since:7928
MOUSE_DRAGGED, x:274, y:81, bt:0, since:7971
MOUSE_DRAGGED, x:277, y:80, bt:0, since:8022
MOUSE_DRAGGED, x:280, y:77, bt:0, since:8074
MOUSE_DRAGGED, x:283, y:76, bt:0, since:8129
MOUSE_DRAGGED, x:287, y:72, bt:0, since:8185
MOUSE_DRAGGED, x:292, y:68, bt:0, since:8244
MOUSE_DRAGGED, x:296, y:63, bt:0, since:8312
MOUSE_DRAGGED, x:303, y:58, bt:0, since:8369
MOUSE_DRAGGED, x:305, y:56, bt:0, since:8417
MOUSE_DRAGGED, x:305, y:55, bt:0, since:8461
MOUSE_DRAGGED, x:307, y:55, bt:0, since:8509
MOUSE_DRAGGED, x:308, y:54, bt:0, since:8554
MOUSE_DRAGGED, x:308, y:53, bt:0, since:8607
MOUSE_DRAGGED, x:308, y:52, bt:0, since:8660
MOUSE_DRAGGED, x:310, y:49, bt:0, since:8712
MOUSE_DRAGGED, x:311, y:46, bt:0, since:8756
MOUSE_DRAGGED, x:312, y:45, bt:0, since:8798
MOUSE_DRAGGED, x:312, y:44, bt:0, since:8844
MOUSE_DRAGGED, x:312, y:42, bt:0, since:8987
MOUSE_DRAGGED, x:312, y:40, bt:0, since:9039
MOUSE_DRAGGED, x:312, y:38, bt:0, since:9073
MOUSE_DRAGGED, x:312, y:37, bt:0, since:9116
MOUSE_DRAGGED, x:312, y:36, bt:0, since:9167
MOUSE_DRAGGED, x:310, y:36, bt:0, since:9218
MOUSE_DRAGGED, x:309, y:36, bt:0, since:9263
MOUSE_DRAGGED, x:306, y:36, bt:0, since:9312
MOUSE_DRAGGED, x:300, y:37, bt:0, since:9364
MOUSE_DRAGGED, x:297, y:38, bt:0, since:9415
MOUSE_DRAGGED, x:296, y:38, bt:0, since:9514
MOUSE_DRAGGED, x:296, y:39, bt:0, since:9559
MOUSE_DRAGGED, x:296, y:41, bt:0, since:9611
MOUSE_DRAGGED, x:296, y:43, bt:0, since:9662
MOUSE_DRAGGED, x:299, y:45, bt:0, since:9719
MOUSE_DRAGGED, x:302, y:47, bt:0, since:9771
MOUSE_DRAGGED, x:303, y:48, bt:0, since:9819
MOUSE_DRAGGED, x:304, y:48, bt:0, since:9870
MOUSE_DRAGGED, x:306, y:47, bt:0, since:9910
MOUSE_DRAGGED, x:309, y:46, bt:0, since:9953
MOUSE_DRAGGED, x:309, y:45, bt:0, since:9988
